date,product_type,region,market_segment,supplier,transport_mode,actual_demand_units,planned_order_units,avg_selling_price_usd,revenue_usd,opening_stock_units,safety_stock_units,reorder_point_units,lead_time_days,supplier_delay_days,shipping_time_days,logistics_cost_usd,disruption_type,disruption_severity_1_to_5,fulfilled_units,stockout_units,service_level_pct,supplier_risk_score,risk_level,dashboard_color_code,bullwhip_ratio_proxy,demand_spike_flag,delay_flag,source_note,month
2022-01-01,Analog IC,Asia-Pacific,Automotive,Supplier_C,Sea,6585,6353,6.22,40958.7,6814,1646,4280,12,5,25,670.63,Supplier Delay,5,6585,0,100.0,67.9,High,Red,1.048,0,1,Synthetic dataset created for academic semiconductor SCM simulation,1
2022-01-02,Memory Chip,India,Computing,Supplier_C,Air,15220,17349,12.73,193750.6,17905,3805,9893,22,0,5,7877.65,Demand Spike,2,15220,0,100.0,18.4,Low,Green,1.291,1,0,Synthetic dataset created for academic semiconductor SCM simulation,1
2022-01-03,Logic IC,Asia-Pacific,Telecom,Supplier_A,Road,7949,7811,2.83,22495.67,8124,1987,5166,33,0,18,1459.44,Logistics Delay,5,7949,0,100.0,60.4,Medium,Orange,1.023,0,1,Synthetic dataset created for academic semiconductor SCM simulation,1
2022-01-04,Power IC,Europe,Consumer Electronics,Supplier_C,Air,3772,3693,7.9,29798.8,4305,943,2451,17,0,4,1546.85,Unknown,0,3772,0,100.0,0.0,Low,Green,0.944,0,0,Synthetic dataset created for academic semiconductor SCM simulation,1
2022-01-05,Microcontroller,Europe,Telecom,Supplier_C,Air,6305,6217,6.64,41865.2,7076,1576,4098,32,0,16,2772.23,Logistics Delay,3,6305,0,100.0,41.6,Medium,Orange,1.042,0,1,Synthetic dataset created for academic semiconductor SCM simulation,1
2022-01-06,Logic IC,India,Industrial,Supplier_B,Sea,9423,9097,2.59,24405.57,12688,2355,6124,15,0,31,1015.17,Unknown,0,9423,0,100.0,15.2,Low,Green,1.045,0,0,Synthetic dataset created for academic semiconductor SCM simulation,1
2022-01-07,Logic IC,Asia-Pacific,Automotive,Supplier_E,Road,7467,7294,2.13,15904.71,7654,1866,4853,42,0,6,1371.35,Unknown,0,7467,0,100.0,26.4,Low,Green,1.077,0,0,Synthetic dataset created for academic semiconductor SCM simulation,1
2022-01-08,Memory Chip,Europe,Consumer Electronics,Supplier_E,Air,7888,8148,3.43,27055.84,4157,1972,5127,31,1,3,4052.13,Unknown,0,7888,0,100.0,16.7,Low,Green,1.107,0,1,Synthetic dataset created for academic semiconductor SCM simulation,1
2022-01-09,Microcontroller,Rest of World,Consumer Electronics,Supplier_B,Multimodal,6304,6638,11.06,69722.24,5322,1576,4097,29,1,20,1744.41,Unknown,0,6304,0,100.0,20.7,Low,Green,1.137,0,1,Synthetic dataset created for academic semiconductor SCM simulation,1
2022-01-10,Microcontroller,North America,Consumer Electronics,Supplier_A,Road,5765,6019,7.49,43179.85,2961,1441,3747,12,0,6,1324.18,Unknown,0,5765,0,100.0,0.0,Low,Green,1.054,0,0,Synthetic dataset created for academic semiconductor SCM simulation,1
2022-01-11,Analog IC,India,Consumer Electronics,Supplier_E,Sea,6134,6080,6.73,41281.82,6785,1533,3987,28,0,29,695.62,Unknown,0,6134,0,100.0,23.2,Low,Green,1.108,0,0,Synthetic dataset created for academic semiconductor SCM simulation,1
2022-01-12,Analog IC,Asia-Pacific,Automotive,Supplier_D,Road,6221,7270,6.22,38694.62,5826,1555,4043,25,0,6,1513.41,Demand Spike,1,6221,0,100.0,14.0,Low,Green,1.115,1,0,Synthetic dataset created for academic semiconductor SCM simulation,1
2022-01-13,Microcontroller,North America,Consumer Electronics,Supplier_D,Multimodal,4501,4565,11.26,50681.26,5949,1125,2925,28,1,19,1083.56,Logistics Delay,2,4501,0,100.0,34.7,Low,Green,1.11,0,1,Synthetic dataset created for academic semiconductor SCM simulation,1
2022-01-14,Logic IC,Asia-Pacific,Industrial,Supplier_A,Air,7598,7867,11.05,83957.9,8036,1899,4938,17,0,6,3563.55,Unknown,0,7598,0,100.0,0.0,Low,Green,1.045,0,0,Synthetic dataset created for academic semiconductor SCM simulation,1
2022-01-15,Microcontroller,Rest of World,Consumer Electronics,Supplier_E,Air,5373,5581,10.78,57920.94,3868,1343,3492,25,1,3,2581.95,Unknown,0,5373,0,100.0,9.5,Low,Green,1.069,0,1,Synthetic dataset created for academic semiconductor SCM simulation,1
2022-01-16,Microcontroller,Asia-Pacific,Telecom,Supplier_E,Air,5412,5337,4.42,23921.04,5862,1353,3517,25,2,4,2578.05,Unknown,0,5412,0,100.0,13.0,Low,Green,1.088,0,1,Synthetic dataset created for academic semiconductor SCM simulation,1
2022-01-17,Analog IC,Rest of World,Automotive,Supplier_E,Road,6739,6534,3.07,20688.73,4633,1684,4380,32,0,24,1353.53,Logistics Delay,3,6739,0,100.0,48.0,Medium,Orange,1.04,0,1,Synthetic dataset created for academic semiconductor SCM simulation,1
2022-01-18,Microcontroller,Asia-Pacific,Telecom,Supplier_C,Air,5782,6250,7.95,45966.9,2993,1445,3758,20,0,5,2370.11,Unknown,0,5782,0,100.0,0.0,Low,Green,1.266,0,0,Synthetic dataset created for academic semiconductor SCM simulation,1
2022-01-19,Memory Chip,Rest of World,Automotive,Supplier_C,Sea,8602,9536,12.89,110879.78,10715,2150,5591,13,2,25,1189.56,Unknown,0,8602,0,100.0,17.4,Low,Green,1.166,0,1,Synthetic dataset created for academic semiconductor SCM simulation,1
2022-01-20,Logic IC,North America,Consumer Electronics,Supplier_B,Sea,7517,7370,11.81,88775.77,9283,1879,4886,25,1,41,755.92,Logistics Delay,1,7517,0,100.0,40.7,Medium,Orange,1.142,0,1,Synthetic dataset created for academic semiconductor SCM simulation,1
2022-01-21,Memory Chip,North America,Telecom,Supplier_C,Road,9817,10427,6.58,64595.86,9155,2454,6381,20,2,11,2366.15,Unknown,0,9817,0,100.0,7.0,Low,Green,1.258,0,1,Synthetic dataset created for academic semiconductor SCM simulation,1
2022-01-22,Microcontroller,Europe,Consumer Electronics,Supplier_E,Road,4627,4864,5.18,23967.86,2266,1156,3007,27,0,11,884.44,Unknown,0,4627,0,100.0,8.4,Low,Green,1.113,0,0,Synthetic dataset created for academic semiconductor SCM simulation,1
2022-01-23,Logic IC,Rest of World,Consumer Electronics,Supplier_C,Multimodal,8603,8631,11.0,94633.0,6160,2150,5591,35,3,15,2114.36,Unknown,0,8603,0,100.0,30.9,Low,Green,0.985,0,1,Synthetic dataset created for academic semiconductor SCM simulation,1
2022-01-24,Sensor IC,India,Consumer Electronics,Supplier_E,Road,5849,6385,4.53,26495.97,3756,1462,3801,23,1,12,1252.76,Unknown,0,5849,0,100.0,7.1,Low,Green,1.166,0,1,Synthetic dataset created for academic semiconductor SCM simulation,1
2022-01-25,Analog IC,North America,Automotive,Supplier_C,Road,8013,8035,10.07,80690.91,8147,2003,5208,16,0,6,1563.8,Unknown,0,8013,0,100.0,0.0,Low,Green,1.001,0,0,Synthetic dataset created for academic semiconductor SCM simulation,1
2022-01-26,Analog IC,India,Telecom,Supplier_D,Sea,7485,7985,10.93,81811.05,9548,1871,4865,23,0,34,937.39,Unknown,0,7485,0,100.0,21.2,Low,Green,1.046,0,0,Synthetic dataset created for academic semiconductor SCM simulation,1
2022-01-27,Memory Chip,India,Computing,Supplier_E,Road,11052,11850,7.75,85653.0,11316,2763,7183,34,2,9,2193.35,Unknown,0,11052,0,100.0,23.8,Low,Green,1.224,0,1,Synthetic dataset created for academic semiconductor SCM simulation,1
2022-01-28,Logic IC,India,Consumer Electronics,Supplier_C,Multimodal,6847,6837,4.95,33892.65,4022,1711,4450,22,2,13,1665.35,Unknown,0,6847,0,100.0,10.2,Low,Green,1.002,0,1,Synthetic dataset created for academic semiconductor SCM simulation,1
2022-01-29,Sensor IC,India,Industrial,Supplier_E,Multimodal,5064,5589,7.06,35751.84,3639,1266,3291,36,2,10,1586.59,Unknown,0,5064,0,100.0,26.2,Low,Green,1.156,0,1,Synthetic dataset created for academic semiconductor SCM simulation,1
2022-01-30,Sensor IC,Rest of World,Computing,Supplier_E,Sea,5675,5654,6.17,35014.75,5281,1418,3688,28,0,23,742.73,Unknown,0,5675,0,100.0,18.4,Low,Green,1.172,0,0,Synthetic dataset created for academic semiconductor SCM simulation,1
2022-01-31,Logic IC,Rest of World,Automotive,Supplier_A,Multimodal,8088,8204,4.32,34940.16,7063,2022,5257,22,0,14,2265.24,Unknown,0,8088,0,100.0,4.0,Low,Green,1.154,0,0,Synthetic dataset created for academic semiconductor SCM simulation,1
2022-02-01,Microcontroller,Europe,Consumer Electronics,Supplier_A,Air,8817,9502,3.1,27332.7,8775,2204,5731,33,0,3,4033.42,Demand Spike,2,8817,0,100.0,31.6,Low,Green,1.283,1,0,Synthetic dataset created for academic semiconductor SCM simulation,2
2022-02-02,Analog IC,Asia-Pacific,Consumer Electronics,Supplier_C,Air,5176,5716,5.75,29762.0,6290,1294,3364,34,0,6,2717.0,Unknown,0,5176,0,100.0,16.8,Low,Green,1.215,0,0,Synthetic dataset created for academic semiconductor SCM simulation,2
2022-02-03,Microcontroller,Rest of World,Automotive,Supplier_C,Multimodal,5487,5684,5.14,28203.18,4739,1371,3566,25,18,20,1592.62,Supplier Delay,1,5487,0,100.0,83.4,High,Red,1.024,0,1,Synthetic dataset created for academic semiconductor SCM simulation,2
2022-02-04,Memory Chip,Rest of World,Industrial,Supplier_E,Multimodal,7400,7435,4.9,36260.0,8997,1850,4810,18,2,15,1621.32,Unknown,0,7400,0,100.0,9.4,Low,Green,1.0,0,1,Synthetic dataset created for academic semiconductor SCM simulation,2
2022-02-05,Memory Chip,Europe,Industrial,Supplier_C,Road,9942,10384,7.88,78342.96,8865,2485,6462,18,0,19,2157.97,Logistics Delay,3,9942,0,100.0,29.6,Low,Green,1.199,0,1,Synthetic dataset created for academic semiconductor SCM simulation,2
