date,product_type,disruption_type,baseline_service_level,proposed_service_level,baseline_delay,proposed_delay,baseline_cost,proposed_cost,baseline_bullwhip_ratio,proposed_bullwhip_ratio,baseline_stockout_units,proposed_stockout_units,final_status,final_color,final_decision
2022-01-01,Analog IC,Supplier Delay,100.0,100,30,25,670.63,590.1544,1.048,0.81744,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-01-02,Memory Chip,Demand Spike,100.0,100,5,0,7877.65,6932.331999999999,1.291,1.00698,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-01-03,Logic IC,Logistics Delay,100.0,100,18,13,1459.44,1284.3072,1.023,0.79794,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-01-04,Power IC,Unknown,100.0,100,4,3,1546.85,1500.4444999999998,0.944,0.8967999999999999,0,0,Stable,Green,Supply chain condition is stable. Continue normal operations.
2022-01-05,Microcontroller,Logistics Delay,100.0,100,16,11,2772.23,2439.5624000000003,1.042,0.81276,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-01-06,Logic IC,Unknown,100.0,100,31,26,1015.17,893.3496,1.045,0.8150999999999999,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-01-07,Logic IC,Unknown,100.0,100,6,1,1371.35,1206.788,1.077,0.84006,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-01-08,Memory Chip,Unknown,100.0,100,4,0,4052.13,3565.8744,1.107,0.86346,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-01-09,Microcontroller,Unknown,100.0,100,21,16,1744.41,1535.0808000000002,1.137,0.8868600000000001,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-01-10,Microcontroller,Unknown,100.0,100,6,1,1324.18,1165.2784000000001,1.054,0.8221200000000001,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-01-11,Analog IC,Unknown,100.0,100,29,24,695.62,612.1456000000001,1.108,0.8642400000000001,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-01-12,Analog IC,Demand Spike,100.0,100,6,3,1513.41,1392.3372000000002,1.115,0.9812,0,0,Moderate,Orange,"Moderate risk detected. Monitor supplier, maintain safety stock, and keep logistics buffer."
2022-01-13,Microcontroller,Logistics Delay,100.0,100,20,15,1083.56,953.5328,1.11,0.8658000000000001,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-01-14,Logic IC,Unknown,100.0,100,6,1,3563.55,3135.924,1.045,0.8150999999999999,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-01-15,Microcontroller,Unknown,100.0,100,4,0,2581.95,2272.116,1.069,0.83382,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-01-16,Microcontroller,Unknown,100.0,100,6,1,2578.05,2268.684,1.088,0.8486400000000001,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-01-17,Analog IC,Logistics Delay,100.0,100,24,19,1353.53,1191.1064,1.04,0.8112,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
2022-01-18,Microcontroller,Unknown,100.0,100,5,0,2370.11,2085.6968,1.266,0.98748,0,0,Critical,Red,"High disruption risk detected. Use backup supplier, increase reorder quantity, and choose faster logistics route."
